distance_km,weather,day_of_week,time_of_day,train_type,delay_min,congestion,train_no
1664.0,Rainy,Saturday,Afternoon,Express,112.0,High,12841
1663.0,Rainy,Tuesday,Evening,Express,0.0,Low,12842
1663.0,Rainy,Monday,Afternoon,Express,89.6,High,12842
1663.0,Foggy,Monday,Late Night,Express,3.8,Low,12842
2148.0,Rainy,Monday,Afternoon,Express,228.7,High,12843
2148.0,Rainy,Thursday,Night,Express,37.4,Medium,12843
2148.0,Clear,Tuesday,Evening,Express,75.5,High,12843
2141.0,Rainy,Tuesday,Late Night,Express,19.4,Medium,12844
2141.0,Foggy,Tuesday,Late Night,Express,242.5,High,12844
2141.0,Foggy,Sunday,Late Night,Express,61.6,High,12844
1510.0,Clear,Thursday,Morning,Express,271.8,High,12845
1510.0,Foggy,Sunday,Night,Express,204.9,High,12845
1510.0,Clear,Thursday,Late Night,Express,73.4,High,12845
1510.0,Rainy,Monday,Evening,Express,161.3,High,12846
1510.0,Foggy,Saturday,Night,Express,179.6,High,12846
1510.0,Clear,Wednesday,Afternoon,Express,0.0,Low,12846
185.0,Rainy,Tuesday,Late Night,Express,25.5,Medium,12847
185.0,Foggy,Friday,Afternoon,Express,156.4,High,12847
185.0,Clear,Monday,Night,Express,35.7,Medium,12847
186.0,Clear,Saturday,Night,Express,0.0,Low,12848
186.0,Foggy,Thursday,Morning,Express,82.3,High,12848
186.0,Foggy,Thursday,Night,Express,178.6,High,12848
1312.0,Foggy,Thursday,Morning,Express,321.6,High,12849
1312.0,Rainy,Monday,Afternoon,Express,82.9,High,12849
1312.0,Foggy,Saturday,Morning,Express,352.3,High,12849
1305.0,Foggy,Tuesday,Night,Express,48.4,High,12850
1305.0,Clear,Wednesday,Evening,Express,0.0,Low,12850
1305.0,Clear,Monday,Morning,Express,0.0,Low,12850
1412.0,Rainy,Tuesday,Evening,Express,279.5,High,12851
1412.0,Foggy,Sunday,Night,Express,70.9,High,12851
1412.0,Foggy,Monday,Late Night,Express,53.1,High,12851
1409.0,Rainy,Sunday,Night,Express,59.3,High,12852
1409.0,Clear,Tuesday,Night,Express,170.5,High,12852
1409.0,Rainy,Saturday,Night,Express,300.8,High,12852
889.0,Foggy,Sunday,Morning,Express,446.2,High,12853
889.0,Foggy,Thursday,Morning,Express,94.6,High,12853
889.0,Foggy,Friday,Evening,Express,168.8,High,12853
897.0,Clear,Thursday,Evening,Express,0.0,Low,12854
897.0,Rainy,Friday,Late Night,Express,173.6,High,12854
897.0,Foggy,Sunday,Afternoon,Express,0.0,Low,12854
416.0,Foggy,Friday,Morning,Express,142.6,High,12855
416.0,Rainy,Friday,Morning,Express,0.0,Low,12855
416.0,Foggy,Monday,Evening,Express,29.2,Medium,12855
405.0,Clear,Wednesday,Night,Express,1.6,Low,12856
405.0,Rainy,Monday,Late Night,Express,13.9,Low,12856
405.0,Rainy,Tuesday,Evening,Express,27.1,Medium,12856
185.0,Foggy,Saturday,Late Night,Express,22.4,Medium,12857
185.0,Clear,Saturday,Late Night,Express,73.2,High,12857
185.0,Clear,Wednesday,Afternoon,Express,0.0,Low,12857
186.0,Clear,Monday,Late Night,Express,36.9,Medium,12858
186.0,Foggy,Saturday,Night,Express,184.5,High,12858
186.0,Foggy,Sunday,Afternoon,Express,30.4,Medium,12858
1972.0,Foggy,Wednesday,Afternoon,Express,20.0,Medium,12859
1972.0,Rainy,Friday,Evening,Express,111.8,High,12859
1972.0,Foggy,Wednesday,Night,Express,235.0,High,12859
1979.0,Clear,Wednesday,Morning,Express,110.6,High,12860
1979.0,Rainy,Thursday,Night,Express,37.9,Medium,12860
1979.0,Foggy,Sunday,Late Night,Express,145.3,High,12860
578.0,Clear,Saturday,Night,Express,0.0,Low,12861
578.0,Foggy,Wednesday,Late Night,Express,89.9,High,12861
578.0,Rainy,Wednesday,Late Night,Express,64.9,High,12861
576.0,Foggy,Tuesday,Morning,Express,60.8,High,12862
576.0,Rainy,Monday,Morning,Express,3.8,Low,12862
576.0,Rainy,Wednesday,Afternoon,Express,0.0,Low,12862
1959.0,Clear,Tuesday,Morning,Express,145.1,High,12863
1959.0,Rainy,Saturday,Morning,Express,424.5,High,12863
1959.0,Clear,Tuesday,Night,Express,16.9,Medium,12863
1959.0,Clear,Saturday,Late Night,Express,103.5,High,12864
1959.0,Clear,Thursday,Evening,Express,0.0,Low,12864
1959.0,Foggy,Tuesday,Late Night,Express,25.8,Medium,12864
344.0,Rainy,Thursday,Evening,Express,73.1,High,12865
344.0,Rainy,Wednesday,Morning,Express,0.0,Low,12865
344.0,Clear,Monday,Morning,Express,0.0,Low,12865
343.0,Clear,Saturday,Late Night,Express,9.5,Low,12866
343.0,Rainy,Friday,Night,Express,89.6,High,12866
343.0,Rainy,Thursday,Evening,Express,59.6,High,12866
1922.0,Foggy,Sunday,Late Night,Express,0.0,Low,12867
1922.0,Foggy,Thursday,Night,Express,0.0,Low,12867
1922.0,Rainy,Tuesday,Late Night,Express,20.6,Medium,12867
1922.0,Rainy,Sunday,Afternoon,Express,175.6,High,12868
1922.0,Rainy,Thursday,Afternoon,Express,0.0,Low,12868
1922.0,Rainy,Sunday,Evening,Express,59.3,High,12868
1972.0,Clear,Wednesday,Afternoon,Express,27.7,Medium,12869
1972.0,Rainy,Tuesday,Night,Express,226.5,High,12869
1972.0,Foggy,Saturday,Afternoon,Express,87.2,High,12869
1979.0,Foggy,Tuesday,Evening,Express,192.2,High,12870
1979.0,Clear,Tuesday,Afternoon,Express,80.9,High,12870
1979.0,Clear,Monday,Morning,Express,0.0,Low,12870
745.0,Rainy,Tuesday,Late Night,Express,88.4,High,12871
745.0,Rainy,Wednesday,Evening,Express,100.6,High,12871
745.0,Clear,Friday,Afternoon,Express,98.7,High,12871
746.0,Foggy,Saturday,Morning,Express,767.8,High,12872
746.0,Rainy,Tuesday,Evening,Express,0.0,Low,12872
746.0,Rainy,Friday,Night,Express,233.9,High,12872
1322.0,Clear,Wednesday,Late Night,Express,27.3,Medium,12873
1322.0,Clear,Thursday,Morning,Express,110.4,High,12873
1322.0,Rainy,Thursday,Afternoon,Express,84.9,High,12873
1325.0,Rainy,Monday,Afternoon,Express,46.2,High,12874
1325.0,Foggy,Friday,Late Night,Express,29.5,Medium,12874
1325.0,Rainy,Thursday,Evening,Express,148.0,High,12874
1911.0,Rainy,Saturday,Late Night,Express,0.0,Low,12875
1911.0,Clear,Saturday,Late Night,Express,124.6,High,12875
1911.0,Rainy,Saturday,Evening,Express,84.4,High,12875
1912.0,Clear,Monday,Night,Express,0.0,Low,12876
1912.0,Clear,Monday,Late Night,Express,25.6,Medium,12876
1912.0,Rainy,Thursday,Morning,Express,334.0,High,12876
1333.0,Foggy,Thursday,Afternoon,Express,39.9,Medium,12877
1333.0,Rainy,Wednesday,Morning,Express,149.6,High,12877
1333.0,Clear,Saturday,Late Night,Express,9.4,Low,12877
1336.0,Clear,Friday,Late Night,Express,99.1,High,12878
1336.0,Clear,Tuesday,Evening,Express,124.9,High,12878
1336.0,Clear,Friday,Morning,Express,307.1,High,12878
1790.0,Rainy,Friday,Morning,Express,125.4,High,12879
1790.0,Rainy,Thursday,Afternoon,Express,180.2,High,12879
1790.0,Rainy,Friday,Late Night,Express,94.0,High,12879
1798.0,Foggy,Saturday,Morning,Express,480.2,High,12880
1798.0,Rainy,Tuesday,Night,Express,14.9,Low,12880
1798.0,Foggy,Wednesday,Night,Express,177.2,High,12880
504.0,Rainy,Monday,Evening,Express,63.0,High,12881
504.0,Rainy,Wednesday,Evening,Express,68.2,High,12881
504.0,Rainy,Sunday,Night,Express,73.2,High,12881
503.0,Foggy,Tuesday,Morning,Express,117.4,High,12882
503.0,Foggy,Saturday,Night,Express,76.6,High,12882
503.0,Rainy,Wednesday,Night,Express,68.7,High,12882
322.0,Clear,Saturday,Night,Express,143.5,High,12883
322.0,Rainy,Sunday,Afternoon,Express,145.2,High,12883
322.0,Foggy,Monday,Late Night,Express,99.8,High,12883
330.0,Clear,Wednesday,Afternoon,Express,19.5,Medium,12884
330.0,Rainy,Wednesday,Late Night,Express,0.0,Low,12884
330.0,Clear,Sunday,Late Night,Express,71.6,High,12884
318.0,Rainy,Monday,Morning,Express,162.5,High,12885
318.0,Rainy,Thursday,Evening,Express,201.1,High,12885
318.0,Clear,Thursday,Late Night,Express,9.7,Low,12885
317.0,Foggy,Sunday,Late Night,Express,40.2,High,12886
317.0,Clear,Tuesday,Afternoon,Express,0.0,Low,12886
317.0,Rainy,Friday,Evening,Express,48.8,High,12886
504.0,Rainy,Sunday,Morning,Express,204.7,High,12887
504.0,Rainy,Wednesday,Late Night,Express,20.0,Medium,12887
504.0,Rainy,Saturday,Late Night,Express,104.1,High,12887
503.0,Rainy,Monday,Afternoon,Express,52.8,High,12888
503.0,Clear,Wednesday,Afternoon,Express,60.0,High,12888
503.0,Rainy,Monday,Night,Express,0.0,Low,12888
1890.0,Foggy,Thursday,Evening,Express,157.8,High,12889
1890.0,Clear,Saturday,Night,Express,0.0,Low,12889
1890.0,Foggy,Monday,Afternoon,Express,94.2,High,12889
1893.0,Clear,Thursday,Evening,Express,0.0,Low,12890
1893.0,Clear,Saturday,Late Night,Express,158.8,High,12890
1893.0,Rainy,Thursday,Late Night,Express,138.7,High,12890
311.0,Foggy,Sunday,Night,Express,107.2,High,12891
311.0,Rainy,Saturday,Night,Express,195.4,High,12891
311.0,Clear,Friday,Evening,Express,0.0,Low,12891
311.0,Foggy,Monday,Late Night,Express,149.3,High,12892
311.0,Rainy,Friday,Afternoon,Express,152.0,High,12892
311.0,Clear,Wednesday,Afternoon,Express,29.5,Medium,12892
395.0,Rainy,Wednesday,Afternoon,Express,134.8,High,12893
395.0,Clear,Wednesday,Morning,Express,0.0,Low,12893
395.0,Rainy,Saturday,Night,Express,4.3,Low,12893
395.0,Rainy,Wednesday,Morning,Express,23.2,Medium,12894
395.0,Rainy,Saturday,Late Night,Express,22.7,Medium,12894
395.0,Clear,Tuesday,Late Night,Express,0.0,Low,12894
504.0,Foggy,Sunday,Afternoon,Express,201.7,High,12895
504.0,Clear,Sunday,Late Night,Express,25.9,Medium,12895
504.0,Clear,Wednesday,Late Night,Express,43.0,High,12895
503.0,Rainy,Wednesday,Evening,Express,25.6,Medium,12896
503.0,Foggy,Monday,Evening,Express,0.0,Low,12896
503.0,Foggy,Wednesday,Late Night,Express,64.2,High,12896
1423.0,Clear,Tuesday,Morning,Express,0.0,Low,12897
1423.0,Foggy,Wednesday,Evening,Express,106.0,High,12897
1423.0,Rainy,Wednesday,Night,Express,0.0,Low,12897
1423.0,Clear,Tuesday,Morning,Express,254.7,High,12898
1423.0,Clear,Tuesday,Late Night,Express,85.6,High,12898
1423.0,Clear,Friday,Late Night,Express,61.1,High,12898
490.0,Foggy,Sunday,Late Night,Express,143.1,High,12901
490.0,Foggy,Saturday,Late Night,Express,2.2,Low,12901
490.0,Clear,Thursday,Night,Express,69.9,High,12901
490.0,Clear,Sunday,Morning,Express,83.5,High,12902
490.0,Clear,Thursday,Morning,Express,81.1,High,12902
490.0,Rainy,Saturday,Evening,Express,251.5,High,12902
1885.0,Rainy,Sunday,Afternoon,Express,209.8,High,12903
1885.0,Rainy,Friday,Late Night,Express,115.2,High,12903
1885.0,Rainy,Saturday,Afternoon,Express,0.0,Low,12903
1888.0,Rainy,Saturday,Morning,Express,0.0,Low,12904
1888.0,Clear,Tuesday,Afternoon,Express,58.5,High,12904
1888.0,Foggy,Saturday,Afternoon,Express,168.7,High,12904
2559.0,Clear,Tuesday,Evening,Express,0.0,Low,12905
2559.0,Clear,Monday,Afternoon,Express,329.6,High,12905
2559.0,Rainy,Monday,Morning,Express,436.5,High,12905
2566.0,Clear,Sunday,Night,Express,145.7,High,12906
2566.0,Rainy,Tuesday,Morning,Express,157.4,High,12906
2566.0,Clear,Sunday,Morning,Express,94.4,High,12906
1355.0,Foggy,Friday,Late Night,Express,0.0,Low,12907
1355.0,Clear,Monday,Night,Express,63.3,High,12907
1355.0,Rainy,Monday,Morning,Express,152.2,High,12907
1358.0,Rainy,Sunday,Morning,Express,0.0,Low,12908
1358.0,Clear,Friday,Morning,Express,137.2,High,12908
1358.0,Clear,Tuesday,Late Night,Express,33.8,Medium,12908
1355.0,Clear,Monday,Evening,Express,0.0,Low,12909
1355.0,Clear,Sunday,Afternoon,Express,1.2,Low,12909
1355.0,Foggy,Friday,Evening,Express,77.3,High,12909
1358.0,Rainy,Tuesday,Evening,Express,311.7,High,12910
1358.0,Foggy,Tuesday,Late Night,Express,107.7,High,12910
1358.0,Foggy,Monday,Late Night,Express,0.0,Low,12910
1427.0,Clear,Sunday,Late Night,Express,78.4,High,12911
1427.0,Clear,Tuesday,Late Night,Express,0.0,Low,12911
1427.0,Foggy,Wednesday,Afternoon,Express,214.7,High,12911
1430.0,Clear,Monday,Late Night,Express,21.3,Medium,12912
1430.0,Foggy,Tuesday,Morning,Express,111.5,High,12912
1430.0,Foggy,Wednesday,Night,Express,217.4,High,12912
650.0,Foggy,Tuesday,Late Night,Shatabdi,0.0,Low,12913
650.0,Rainy,Tuesday,Morning,Shatabdi,0.0,Low,12913
650.0,Rainy,Thursday,Night,Shatabdi,2.4,Low,12913
650.0,Clear,Tuesday,Late Night,Shatabdi,13.3,Low,12914
650.0,Rainy,Sunday,Morning,Shatabdi,0.0,Low,12914
650.0,Rainy,Thursday,Morning,Shatabdi,0.0,Low,12914
930.0,Clear,Tuesday,Late Night,Express,17.4,Medium,12915
930.0,Rainy,Saturday,Evening,Express,196.6,High,12915
930.0,Rainy,Saturday,Late Night,Express,166.8,High,12915
933.0,Clear,Wednesday,Morning,Express,31.4,Medium,12916
933.0,Rainy,Thursday,Morning,Express,54.4,High,12916
933.0,Rainy,Friday,Night,Express,194.9,High,12916
1075.0,Foggy,Saturday,Evening,Express,0.0,Low,12917
1075.0,Rainy,Friday,Afternoon,Express,54.5,High,12917
1075.0,Rainy,Sunday,Evening,Express,132.1,High,12917
1077.0,Rainy,Sunday,Afternoon,Express,136.9,High,12918
1077.0,Clear,Saturday,Night,Express,28.3,Medium,12918
1077.0,Rainy,Monday,Afternoon,Express,86.2,High,12918
1598.0,Foggy,Saturday,Night,Express,0.0,Low,12919
1598.0,Clear,Thursday,Night,Express,15.4,Medium,12919
1598.0,Foggy,Monday,Morning,Express,218.7,High,12919
1601.0,Clear,Thursday,Night,Express,0.0,Low,12920
1601.0,Foggy,Monday,Late Night,Express,82.9,High,12920
1601.0,Foggy,Monday,Afternoon,Express,167.6,High,12920
262.0,Rainy,Wednesday,Afternoon,Express,33.7,Medium,12921
262.0,Clear,Sunday,Late Night,Express,39.7,Medium,12921
262.0,Rainy,Tuesday,Morning,Express,0.0,Low,12921
262.0,Rainy,Wednesday,Night,Express,38.1,Medium,12922
262.0,Foggy,Friday,Late Night,Express,97.8,High,12922
262.0,Rainy,Wednesday,Night,Express,58.8,High,12922
606.0,Rainy,Thursday,Late Night,Express,16.2,Medium,12923
606.0,Rainy,Wednesday,Late Night,Express,56.1,High,12923
606.0,Clear,Monday,Night,Express,82.0,High,12923
606.0,Clear,Thursday,Evening,Express,0.0,Low,12924
606.0,Rainy,Saturday,Afternoon,Express,207.8,High,12924
606.0,Clear,Monday,Morning,Express,40.2,High,12924
1810.0,Foggy,Sunday,Morning,Express,247.3,High,12925
1810.0,Clear,Saturday,Night,Express,199.0,High,12925
1810.0,Clear,Thursday,Afternoon,Express,0.0,Low,12925
1813.0,Foggy,Tuesday,Evening,Express,24.2,Medium,12926
1813.0,Rainy,Friday,Late Night,Express,57.0,High,12926
1813.0,Clear,Saturday,Morning,Express,12.7,Low,12926
391.0,Foggy,Sunday,Night,Express,215.7,High,12927
391.0,Rainy,Wednesday,Afternoon,Express,1.2,Low,12927
391.0,Foggy,Thursday,Night,Express,24.2,Medium,12927
391.0,Foggy,Friday,Evening,Express,128.8,High,12928
391.0,Rainy,Friday,Late Night,Express,0.0,Low,12928
391.0,Clear,Thursday,Morning,Express,32.8,Medium,12928
344.0,Clear,Thursday,Night,Express,55.3,High,12929
344.0,Rainy,Thursday,Night,Express,35.2,Medium,12929
344.0,Rainy,Monday,Morning,Express,73.4,High,12929
344.0,Clear,Saturday,Late Night,Express,15.9,Medium,12930
344.0,Rainy,Thursday,Afternoon,Express,0.0,Low,12930
344.0,Rainy,Wednesday,Afternoon,Express,78.5,High,12930
490.0,Foggy,Thursday,Night,Express,207.5,High,12931
490.0,Clear,Saturday,Late Night,Express,43.6,High,12931
490.0,Rainy,Saturday,Late Night,Express,75.2,High,12931
490.0,Foggy,Thursday,Late Night,Express,96.2,High,12932
490.0,Rainy,Sunday,Late Night,Express,0.0,Low,12932
490.0,Clear,Monday,Late Night,Express,98.8,High,12932
490.0,Rainy,Thursday,Evening,Express,99.1,High,12933
490.0,Foggy,Friday,Night,Express,233.7,High,12933
490.0,Foggy,Sunday,Evening,Express,16.3,Medium,12933
490.0,Rainy,Monday,Evening,Express,247.8,High,12934
490.0,Clear,Monday,Late Night,Express,63.3,High,12934
490.0,Clear,Wednesday,Evening,Express,85.3,High,12934
251.0,Foggy,Monday,Late Night,Express,61.5,High,12935
251.0,Foggy,Thursday,Evening,Express,59.6,High,12935
251.0,Clear,Wednesday,Night,Express,84.1,High,12935
251.0,Rainy,Wednesday,Night,Express,57.6,High,12936
251.0,Clear,Tuesday,Afternoon,Express,0.0,Low,12936
251.0,Clear,Friday,Evening,Express,0.0,Low,12936
2509.0,Clear,Sunday,Morning,Express,97.0,High,12937
2509.0,Rainy,Wednesday,Morning,Express,194.5,High,12937
2509.0,Clear,Friday,Morning,Express,124.7,High,12937
2508.0,Rainy,Thursday,Morning,Express,378.0,High,12938
2508.0,Foggy,Friday,Night,Express,0.0,Low,12938
2508.0,Foggy,Wednesday,Night,Express,132.2,High,12938
1289.0,Clear,Friday,Night,Express,0.0,Low,12939
1289.0,Clear,Thursday,Evening,Express,141.9,High,12939
1289.0,Foggy,Wednesday,Night,Express,73.9,High,12939
1290.0,Foggy,Sunday,Morning,Express,212.6,High,12940
1290.0,Rainy,Saturday,Morning,Express,1.9,Low,12940
1290.0,Foggy,Wednesday,Afternoon,Express,226.8,High,12940
2308.0,Rainy,Sunday,Late Night,Express,194.2,High,12941
2308.0,Foggy,Tuesday,Evening,Express,241.3,High,12941
2308.0,Foggy,Wednesday,Evening,Express,123.3,High,12941
2308.0,Rainy,Thursday,Afternoon,Express,193.0,High,12942
2308.0,Foggy,Sunday,Morning,Express,36.2,Medium,12942
2308.0,Foggy,Wednesday,Afternoon,Express,238.6,High,12942
1301.0,Rainy,Wednesday,Morning,Express,303.3,High,12943
1301.0,Foggy,Sunday,Night,Express,222.0,High,12943
1301.0,Clear,Saturday,Late Night,Express,9.4,Low,12943
1301.0,Clear,Monday,Late Night,Express,62.9,High,12944
1301.0,Foggy,Wednesday,Evening,Express,0.0,Low,12944
1301.0,Clear,Sunday,Late Night,Express,80.3,High,12944
632.0,Foggy,Thursday,Night,Express,110.5,High,12946
632.0,Clear,Sunday,Evening,Express,0.0,Low,12946
632.0,Clear,Friday,Evening,Express,0.0,Low,12946
1754.0,Rainy,Saturday,Night,Express,78.4,High,12947
1754.0,Foggy,Tuesday,Evening,Express,82.8,High,12947
1754.0,Rainy,Wednesday,Night,Express,0.0,Low,12947
1754.0,Foggy,Thursday,Late Night,Express,116.9,High,12948
1754.0,Foggy,Tuesday,Late Night,Express,94.7,High,12948
1754.0,Clear,Sunday,Late Night,Express,42.9,High,12948
2664.0,Clear,Thursday,Late Night,Express,8.6,Low,12949
2664.0,Clear,Wednesday,Night,Express,161.5,High,12949
2664.0,Foggy,Sunday,Late Night,Express,317.2,High,12949
2670.0,Foggy,Friday,Night,Express,68.4,High,12950
2670.0,Foggy,Friday,Morning,Express,66.4,High,12950
2670.0,Clear,Thursday,Evening,Express,168.4,High,12950
1373.0,Clear,Tuesday,Afternoon,Express,34.9,Medium,12951
1373.0,Foggy,Sunday,Evening,Express,114.3,High,12951
1373.0,Rainy,Wednesday,Night,Express,137.2,High,12951
1376.0,Clear,Sunday,Afternoon,Express,0.0,Low,12952
1376.0,Rainy,Sunday,Evening,Express,298.6,High,12952
1376.0,Rainy,Wednesday,Afternoon,Express,89.6,High,12952
1366.0,Foggy,Tuesday,Late Night,Express,34.9,Medium,12953
1366.0,Rainy,Monday,Afternoon,Express,81.5,High,12953
1366.0,Clear,Monday,Afternoon,Express,62.0,High,12953
1369.0,Clear,Thursday,Evening,Express,0.0,Low,12954
1369.0,Rainy,Thursday,Late Night,Express,172.1,High,12954
1369.0,Rainy,Tuesday,Morning,Express,112.4,High,12954
1157.0,Clear,Tuesday,Evening,Express,99.9,High,12955
1157.0,Clear,Sunday,Evening,Express,166.1,High,12955
1157.0,Rainy,Tuesday,Late Night,Express,0.0,Low,12955
1158.0,Foggy,Saturday,Morning,Express,248.0,High,12956
1158.0,Rainy,Monday,Morning,Express,76.8,High,12956
1158.0,Clear,Friday,Evening,Express,169.6,High,12956
931.0,Rainy,Thursday,Morning,Express,0.0,Low,12957
931.0,Rainy,Thursday,Morning,Express,91.1,High,12957
931.0,Foggy,Tuesday,Afternoon,Express,25.5,Medium,12957
934.0,Clear,Saturday,Late Night,Express,75.2,High,12958
934.0,Foggy,Friday,Morning,Express,213.4,High,12958
934.0,Foggy,Sunday,Late Night,Express,13.2,Low,12958
972.0,Foggy,Thursday,Evening,Express,20.4,Medium,12959
972.0,Clear,Friday,Afternoon,Express,59.1,High,12959
972.0,Clear,Wednesday,Evening,Express,0.0,Low,12959
972.0,Foggy,Sunday,Night,Express,176.4,High,12960
972.0,Foggy,Thursday,Afternoon,Express,52.9,High,12960
972.0,Clear,Monday,Afternoon,Express,0.0,Low,12960
831.0,Clear,Wednesday,Afternoon,Express,28.3,Medium,12961
831.0,Rainy,Wednesday,Night,Express,0.0,Low,12961
831.0,Foggy,Thursday,Morning,Express,0.0,Low,12961
831.0,Foggy,Saturday,Evening,Express,0.0,Low,12962
831.0,Clear,Friday,Evening,Express,87.0,High,12962
831.0,Rainy,Saturday,Night,Express,220.1,High,12962
735.0,Clear,Sunday,Evening,Express,93.6,High,12963
735.0,Clear,Thursday,Evening,Express,19.4,Medium,12963
735.0,Foggy,Sunday,Evening,Express,167.7,High,12963
733.0,Rainy,Saturday,Morning,Express,57.9,High,12964
733.0,Foggy,Sunday,Morning,Express,24.6,Medium,12964
733.0,Foggy,Saturday,Morning,Express,0.0,Low,12964
2179.0,Foggy,Wednesday,Afternoon,Express,0.0,Low,12967
2179.0,Foggy,Wednesday,Night,Express,58.4,High,12967
2179.0,Foggy,Sunday,Evening,Express,198.9,High,12967
2174.0,Foggy,Friday,Morning,Express,175.7,High,12968
2174.0,Clear,Thursday,Night,Express,37.9,Medium,12968
2174.0,Clear,Wednesday,Night,Express,0.0,Low,12968
2673.0,Rainy,Sunday,Morning,Express,302.8,High,12969
2673.0,Clear,Tuesday,Evening,Express,0.0,Low,12969
2673.0,Clear,Saturday,Night,Express,194.4,High,12969
2667.0,Rainy,Sunday,Night,Express,0.0,Low,12970
2667.0,Clear,Sunday,Evening,Express,16.5,Medium,12970
2667.0,Clear,Thursday,Night,Express,0.0,Low,12970
778.0,Foggy,Sunday,Night,Express,35.9,Medium,12971
778.0,Rainy,Sunday,Night,Express,155.4,High,12971
778.0,Clear,Saturday,Afternoon,Express,108.2,High,12971
778.0,Rainy,Monday,Late Night,Express,111.0,High,12972
778.0,Rainy,Friday,Night,Express,127.2,High,12972
778.0,Foggy,Saturday,Late Night,Express,0.0,Low,12972
593.0,Rainy,Saturday,Night,Express,49.8,High,12973
593.0,Clear,Saturday,Morning,Express,8.9,Low,12973
593.0,Foggy,Saturday,Afternoon,Express,256.2,High,12973
593.0,Rainy,Monday,Afternoon,Express,0.0,Low,12974
593.0,Rainy,Saturday,Afternoon,Express,179.8,High,12974
593.0,Rainy,Friday,Evening,Express,200.2,High,12974
2483.0,Clear,Tuesday,Morning,Express,315.2,High,12975
2483.0,Clear,Saturday,Late Night,Express,40.9,High,12975
2483.0,Foggy,Sunday,Afternoon,Express,273.3,High,12975
2483.0,Foggy,Sunday,Night,Express,489.1,High,12976
2483.0,Rainy,Thursday,Night,Express,32.0,Medium,12976
2483.0,Foggy,Wednesday,Afternoon,Express,0.0,Low,12976
2564.0,Clear,Sunday,Late Night,Express,0.0,Low,12977
2564.0,Rainy,Tuesday,Evening,Express,243.5,High,12977
2564.0,Clear,Wednesday,Night,Express,0.0,Low,12977
2560.0,Clear,Thursday,Night,Express,45.4,High,12978
2560.0,Foggy,Monday,Afternoon,Express,210.6,High,12978
2560.0,Clear,Saturday,Late Night,Express,94.8,High,12978
1146.0,Foggy,Monday,Afternoon,Express,144.0,High,12979
1146.0,Rainy,Wednesday,Afternoon,Express,96.7,High,12979
1146.0,Foggy,Monday,Afternoon,Express,238.5,High,12979
1147.0,Rainy,Thursday,Late Night,Express,0.0,Low,12980
1147.0,Foggy,Tuesday,Evening,Express,23.9,Medium,12980
1147.0,Clear,Tuesday,Evening,Express,7.7,Low,12980
672.0,Foggy,Monday,Morning,Express,208.5,High,12981
672.0,Foggy,Thursday,Late Night,Express,116.9,High,12981
672.0,Rainy,Monday,Night,Express,98.2,High,12981
672.0,Clear,Tuesday,Afternoon,Express,110.0,High,12982
672.0,Rainy,Saturday,Evening,Express,0.0,Low,12982
672.0,Rainy,Tuesday,Night,Express,171.2,High,12982
715.0,Rainy,Friday,Afternoon,Express,237.0,High,12983
715.0,Clear,Saturday,Evening,Express,146.9,High,12983
715.0,Foggy,Thursday,Afternoon,Express,253.9,High,12983
715.0,Clear,Sunday,Night,Express,0.0,Low,12984
715.0,Clear,Wednesday,Morning,Express,24.7,Medium,12984
715.0,Rainy,Friday,Afternoon,Express,13.8,Low,12984
302.0,Rainy,Wednesday,Afternoon,Express,102.9,High,12985
302.0,Foggy,Monday,Night,Express,0.0,Low,12985
302.0,Clear,Tuesday,Night,Express,67.6,High,12985
302.0,Rainy,Saturday,Night,Express,182.4,High,12986
302.0,Clear,Saturday,Night,Express,91.1,High,12986
302.0,Rainy,Wednesday,Late Night,Express,52.3,High,12986
1637.0,Clear,Friday,Morning,Express,0.0,Low,12987
1637.0,Clear,Wednesday,Morning,Express,2.7,Low,12987
1637.0,Clear,Wednesday,Night,Express,139.1,High,12987
1638.0,Foggy,Saturday,Late Night,Express,188.7,High,12988
1638.0,Foggy,Monday,Morning,Express,139.2,High,12988
1638.0,Rainy,Friday,Late Night,Express,42.4,High,12988
974.0,Rainy,Thursday,Evening,Express,0.0,Low,12989
974.0,Foggy,Tuesday,Evening,Express,0.0,Low,12989
974.0,Foggy,Friday,Morning,Express,448.2,High,12989
976.0,Clear,Tuesday,Evening,Express,0.0,Low,12990
976.0,Foggy,Wednesday,Night,Express,91.2,High,12990
976.0,Rainy,Monday,Afternoon,Express,172.5,High,12990
434.0,Rainy,Thursday,Late Night,Express,0.0,Low,12991
434.0,Clear,Monday,Evening,Express,68.1,High,12991
434.0,Rainy,Tuesday,Morning,Express,160.6,High,12991
434.0,Rainy,Saturday,Evening,Express,101.6,High,12992
434.0,Rainy,Wednesday,Night,Express,229.6,High,12992
434.0,Rainy,Sunday,Late Night,Express,0.0,Low,12992
2288.0,Rainy,Wednesday,Late Night,Express,162.5,High,12993
2288.0,Rainy,Wednesday,Afternoon,Express,84.3,High,12993
2288.0,Foggy,Sunday,Night,Express,244.1,High,12993
2295.0,Clear,Sunday,Late Night,Express,95.0,High,12994
2295.0,Foggy,Monday,Night,Express,19.3,Medium,12994
2295.0,Clear,Monday,Afternoon,Express,104.3,High,12994
944.0,Clear,Monday,Afternoon,Express,0.0,Low,12995
944.0,Rainy,Tuesday,Evening,Express,146.2,High,12995
